X,Y,Name,Category,Reviews,Rating,Address,Lat,Lon,Neighborhood
-71.0372238,42.3451843,Pete's Dockside,restaurants,39,4.5,12 Channel St,42.3451843,-71.0372238,Seaport
-71.035987943400002,42.3479215837,Yankee Lobster Co,restaurants,838,4,300 Northern Ave,42.3479215837,-71.0359879434,Seaport
-71.047323276699998,42.349633716200003,Row 34,restaurants,526,4.5,383 Congress St,42.3496337162,-71.0473232767,Seaport
-71.050995960799995,42.346178144200003,Internal Matter,restaurants,29,4.5,"35 Channel Center St', Ste 100",42.3461781442,-71.0509959608,Seaport
-71.047723442299997,42.350161812300001,sweetgreen,restaurants,94,4.5,372 Congress St,42.3501618123,-71.0477234423,Seaport
-71.048812866199995,42.351367950399997,Flour Bakery + Café,restaurants,740,4.5,12 Farnsworth St,42.3513679504,-71.0488128662,Seaport
-71.0378647,42.3485739,Legal Harborside,restaurants,768,3.5,270 Northern Ave,42.3485739,-71.0378647,Seaport
-71.0484619,42.3506699,Drink,restaurants,1200,4,348 Congress St,42.3506699,-71.0484619,Seaport
-71.038876399399996,42.3487845808,Legal Test Kitchen,restaurants,541,3.5,225 Northern Ave,42.3487845808,-71.0388763994,Seaport
-71.048598736499997,42.3505159467,Sportello,restaurants,613,4,348 Congress St,42.3505159467,-71.0485987365,Seaport
-71.048374772100004,42.353305444100002,Outlook Kitchen And Bar,restaurants,40,4,70 Sleeper St,42.3533054441,-71.0483747721,Seaport
-71.0483829,42.3504581,Menton,restaurants,309,4.5,354 Congress St,42.3504581,-71.0483829,Seaport
-71.0440584272,42.351124808199998,Ocean Prime,restaurants,64,4,140 Seaport Blvd,42.3511248082,-71.0440584272,Seaport
-71.0452809,42.3523779,Gather,restaurants,197,3.5,75 Northern Ave,42.3523779,-71.0452809,Seaport
-71.049653,42.349348,Blue Dragon,restaurants,344,3.5,324 A St,42.349348,-71.049653,Seaport
-71.048484802199994,42.350040435799997,Lucky's Lounge,restaurants,528,3.5,355 Congress St,42.3500404358,-71.0484848022,Seaport
-71.039009094199997,42.3488883972,Larry J's BBQ Cafe,restaurants,67,4,600 D St,42.3488883972,-71.0390090942,Seaport
-71.038549773200003,42.348560728400003,Salvatore's,restaurants,269,3.5,225 Northern Ave,42.3485607284,-71.0385497732,Seaport
-71.037472263,42.338260263199999,Ethel and Andy's Sandwich Shop,restaurants,11,5,134 K St,42.3382602632,-71.037472263,Seaport
-71.045152,42.353216,Strega Waterfront,restaurants,350,3.5,"One Marina Park Dr', 56 Northern Ave On GPS",42.353216,-71.045152,Seaport
-71.048857456700006,42.350576394100003,"Pastoral - Artisan Pizza, Kitchen & Bar",restaurants,243,3.5,345 Congress St,42.3505763941,-71.0488574567,Seaport
-71.0501609,42.349462,Bastille Kitchen,restaurants,168,3.5,49 Melcher St,42.349462,-71.0501609,Seaport
-71.0455704,42.3529892,Committee,restaurants,100,3.5,50 Northern Ave,42.3529892,-71.0455704,Seaport
-71.036232,42.3444786,Drydock Cafe,restaurants,37,4,7 Drydock Ave,42.3444786,-71.036232,Seaport
-71.0569151,42.34133,Moonshine 152,restaurants,109,4,152 Dorchester Ave,42.34133,-71.0569151,Seaport
-71.054476797600003,42.342785149800001,My Diner,restaurants,176,4,98 A St,42.3427851498,-71.0544767976,Seaport
-71.049357131099995,42.339986935299997,AK's Takeout & Delivery,restaurants,101,4,309 D St,42.3399869353,-71.0493571311,Seaport
-71.056809274900004,42.34276109,Worden Hall,restaurants,126,4,22 W Broadway,42.34276109,-71.0568092749,Seaport
-71.04535,42.353733,Babbo Pizzeria e Enoteca,restaurants,294,3.5,11 Fan Pier Blvd,42.353733,-71.04535,Seaport
-71.05004,42.34977,Papagayo,restaurants,472,3.5,283 Summer Street,42.34977,-71.05004,Seaport
-71.038894835299999,42.349105107600003,75 on Liberty Wharf,restaurants,130,3,220 Northern Ave,42.3491051076,-71.0388948353,Seaport
-71.049426,42.350552,TR Street Foods,restaurants,19,4,"343 Congress St', Fort Point",42.350552,-71.049426,Seaport
-71.047737740700001,42.336967076,Loco Taqueria and Oyster Bar,restaurants,199,4,412 W Broadway,42.336967076,-71.0477377407,Seaport
-71.0568666458,42.351408313599997,O Ya,restaurants,506,4.5,9 East St Pl,42.3514083136,-71.0568666458,Seaport
-71.049346,42.350641,Tavern Road,restaurants,202,3.5,343 Congress St,42.350641,-71.049346,Seaport
-71.027351,42.337799,Galley Diner,restaurants,108,4.5,11 P St,42.337799,-71.027351,Seaport
-71.056479304199996,42.342739013900001,The Maiden,restaurants,28,4,28 W Broadway,42.3427390139,-71.0564793042,Seaport
-71.048629,42.35393,Barking Crab,restaurants,1405,3,88 Sleeper St,42.35393,-71.048629,Seaport
-71.053644177199999,42.342084058300003,Coppersmith,restaurants,140,3,40 W 3rd St,42.3420840583,-71.0536441772,Seaport
-71.0435562,42.3468704,M.J. O'Connor's,restaurants,119,3,425 Summer St,42.3468704,-71.0435562,Seaport
-71.038368692,42.348829346199999,Temazcal Tequila Cantina,restaurants,529,3,250 Northern Ave,42.3488293462,-71.038368692,Seaport
-71.042573951799994,42.350118623699998,Rosa Mexicano,restaurants,326,3,155 Seaport Blvd,42.3501186237,-71.0425739518,Seaport
-71.0483627,42.3370285,Fromage,restaurants,36,4,401 W Broadway,42.3370285,-71.0483627,Seaport
-71.054219305499998,42.341053783900001,Rondo's Sub Shop,restaurants,45,4.5,134 W Broadway,42.3410537839,-71.0542193055,Seaport
-71.037662894199997,42.351280853600002,No Name Restaurant,restaurants,587,2.5,15 Fish Pier St W,42.3512808536,-71.0376628942,Seaport
-71.055726479800001,42.3417995549,Mul's Diner,restaurants,201,4,75 W Broadway,42.3417995549,-71.0557264798,Seaport
-71.054557,42.342449,KO Catering and Pies,restaurants,182,4.5,87 A St,42.342449,-71.054557,Seaport
-71.056175977,42.351095303900003,Oath Craft Pizza,restaurants,34,4.5,700 Atlantic Ave,42.3510953039,-71.056175977,Seaport
-71.053072,42.353533,Trade,restaurants,368,3.5,540 Atlantic Ave,42.353533,-71.053072,Seaport
-71.055123867,42.351683031699999,The Well Coffee House,restaurants,39,5,"2 South Station', Ste A6",42.3516830317,-71.055123867,Seaport
-71.05106,42.34653,Barlow's Restaurant,restaurants,184,3,241 A St,42.34653,-71.05106,Seaport
-71.0395301362,42.348212596300002,M.C. Spiedo,restaurants,64,3,606 Congress St,42.3482125963,-71.0395301362,Seaport
-71.05522,42.34191,Amrheins,restaurants,326,3.5,80 W Broadway,42.34191,-71.05522,Seaport
-71.0525284,42.3527145,Boloco Atlantic Wharf,restaurants,37,4,284 Congress St,42.3527145,-71.0525284,Seaport
-71.037530917400005,42.350472727,Trio Cafe Boston,restaurants,2,5,33A Boston Fish Pier,42.350472727,-71.0375309174,Seaport
-71.052873851599998,42.353118316500002,Smith & Wollensky,restaurants,194,4,294 Congress St,42.3531183165,-71.0528738516,Seaport
-71.0304184,42.3445778,Sheherazad,restaurants,11,4,39-53 Drydock Ave,42.3445778,-71.0304184,Seaport
-71.04891,42.3379,South Boston Lithuanian Club,restaurants,13,4.5,368 W Broadway,42.3379,-71.04891,Seaport
-71.0502777,42.3510895,Bon Me - Fort Point,restaurants,32,4,313 Congress St,42.3510895,-71.0502777,Seaport
-71.055847406400005,42.352958394200002,Clover,restaurants,186,4,Dewey Sq,42.3529583942,-71.0558474064,Seaport
-71.04971,42.33849,Shenannigan's Irish Pub & Restaurant,restaurants,118,3.5,332 W Broadway,42.33849,-71.04971,Seaport
-71.0573908,42.3520819,Al's South Street Cafe,restaurants,153,4,179 Essex St,42.3520819,-71.0573908,Seaport
-71.049156,42.351097,Metro Cafe,restaurants,75,3.5,332 Congress St,42.351097,-71.049156,Seaport
-71.045579910300006,42.352914786299998,Empire Asian Restaurant & Lounge,restaurants,273,3.5,1 Marina Park Dr,42.3529147863,-71.0455799103,Seaport
-71.056792,42.340173,Doughboy Donuts & Deli,restaurants,99,4,220 Dorchester Ave,42.340173,-71.056792,Seaport
-71.0356049,42.337992,Murphy's Law,restaurants,38,3.5,837 Summer St,42.337992,-71.0356049,Seaport
-71.046220290299999,42.353180697,B.good,restaurants,3,4.5,50 Northern Ave,42.353180697,-71.0462202903,Seaport
-71.038523,42.348544,Del Frisco's Double Eagle Steak House,restaurants,558,3.5,"250 Northern Ave', Ste 200",42.348544,-71.038523,Seaport
-71.057466873400003,42.351162781100001,Les Zygomates,restaurants,333,4,129 South St,42.3511627811,-71.0574668734,Seaport
-71.055495,42.352518,Tavern In the Square,restaurants,29,3.5,640 Atlantic Ave,42.352518,-71.055495,Seaport
-71.038659536099999,42.349026929799997,Jerry Remy's Sports Bar & Grill,restaurants,345,2.5,250 Northern Ave,42.3490269298,-71.0386595361,Seaport
-71.0411598,42.3491951,Tamo Bistro & Bar,restaurants,91,3,1 Seaport Ln,42.3491951,-71.0411598,Seaport
-71.05137,42.33944,Pizzeria 260,restaurants,38,3.5,260 W Broadway,42.33944,-71.05137,Seaport
-71.0570896,42.3429377,Stephi's In Southie,restaurants,139,3.5,"Eleven West Building', 130 Dorchester Ave",42.3429377,-71.0570896,Seaport
-71.055646247799999,42.353162641799997,Stoked Wood Fired Pizza,restaurants,47,4.5,,42.3531626418,-71.0556462478,Seaport
-71.0441589,42.3442993,Jimmy John's,restaurants,29,3,413 D St,42.3442993,-71.0441589,Seaport
-71.057484096,42.351807236799999,Sate Asian Grill,restaurants,26,4,89 South St,42.3518072368,-71.057484096,Seaport
-71.05637,42.3427099,Teriyaki House,restaurants,221,3,32 W Broadway,42.3427099,-71.05637,Seaport
-71.048149108900006,42.337371826199998,Cafe Arpeggio,restaurants,64,3.5,398 W Broadway,42.3373718262,-71.0481491089,Seaport
-71.043356359,42.350782826500001,Atlantic Beer Garden,restaurants,300,2.5,146 Northern Ave,42.3507828265,-71.043356359,Seaport
-71.048083804100003,42.354143545100001,The Daily Catch,restaurants,233,2.5,2 Northern Ave,42.3541435451,-71.0480838041,Seaport
-71.0531263,42.3538883,Nebo Cucina & Enoteca,restaurants,207,3,520 Atlantic Ave,42.3538883,-71.0531263,Seaport
-71.040220186100001,42.349426299299999,Dr Sheline's Snack Bazaar,restaurants,9,4.5,250 Seaport Blvd,42.3494262993,-71.0402201861,Seaport
-71.0563778,42.3543117,Boloco,restaurants,101,4,133 Federal St,42.3543117,-71.0563778,Seaport
-71.0441437,42.3521576,Water Cafe,restaurants,14,3,100 Northern Ave,42.3521576,-71.0441437,Seaport
-71.049224853499993,42.350021362299998,Buco Trattoria,restaurants,7,3.5,300 Summer St,42.3500213623,-71.0492248535,Seaport
-71.049995422400002,42.350437164299997,Marco Polo,restaurants,22,3.5,274 Summer St,42.3504371643,-71.0499954224,Seaport
-71.0485099,42.35253,Sleeper Street Cafe,restaurants,25,3.5,51 Sleeper St,42.35253,-71.0485099,Seaport
-71.051914,42.353961,Sushiteq Sushi & Tequila Experience,restaurants,80,3.5,"InterContinental Boston', 510 Atlantic Ave",42.353961,-71.051914,Seaport
-71.055015251,42.352178155399997,Tavitas,restaurants,26,3,1 S Station,42.3521781554,-71.055015251,Seaport
-71.0452661,42.3528436,Caffè Strega,restaurants,2,4.5,1 Marina Park Dr,42.3528436,-71.0452661,Seaport
-71.041136831,42.348790731299999,Cosi,restaurants,8,3,2 Seaport Ln,42.3487907313,-71.041136831,Seaport
-71.042747497600004,42.345508575399997,Fargo's Deli Of Course,restaurants,23,2.5,451 D St,42.3455085754,-71.0427474976,Seaport
-71.0522075,42.3448853,Freshii,restaurants,38,3.5,"1 Iron St', Boston",42.3448853,-71.0522075,Seaport
-71.0525589,42.3527489,Sorelle,restaurants,78,3,282 Congress St,42.3527489,-71.0525589,Seaport
-71.054810732600004,42.354568094,Freshii,restaurants,114,3.5,"100 High St', Ste 100",42.354568094,-71.0548107326,Seaport
-71.0567228,42.3535181,Serafina,restaurants,44,3.5,10 High St,42.3535181,-71.0567228,Seaport
-71.056467667199996,42.350526675600001,Cheeseboy,restaurants,101,3.5,"South Station Train Concourse', 720 Atlantic Ave",42.3505266756,-71.0564676672,Seaport
-71.051376,42.33945,Broadway's Pastry & Coffee Shop,restaurants,14,4,258 W Broadway,42.33945,-71.051376,Seaport
-71.05364,42.35452,Siam Bistro,restaurants,102,3.5,151 Pearl St,42.35452,-71.05364,Seaport
-71.038000090300002,42.348286446199999,J Pace & Son,grocery,71,4,225 Northern Ave,42.3482864462,-71.0380000903,Seaport
-71.0480423,42.3498116,Fort Point Market,grocery,16,4.5,369 Congress St,42.3498116,-71.0480423,Seaport
-71.051888,42.339886,Foodies Urban Market,grocery,25,3,230 W Broadway,42.339886,-71.051888,Seaport
-71.048812866199995,42.351367950399997,Bee's Knees Supply Company,grocery,129,3.5,12 Farnsworth St,42.3513679504,-71.0488128662,Seaport
-71.049989461899997,42.347253433200002,Sagarino's,grocery,3,5,21A Wormwood St,42.3472534332,-71.0499894619,Seaport
-71.040220186100001,42.349426299299999,Dr Sheline's Snack Bazaar,grocery,9,4.5,250 Seaport Blvd,42.3494262993,-71.0402201861,Seaport
-71.051192563800001,42.350457848399998,Metro Convenience,grocery,11,3,253 Summer St,42.3504578484,-71.0511925638,Seaport
-71.056407988100005,42.338899970100002,Three D's,grocery,1,5,29 W 6th St,42.3388999701,-71.0564079881,Seaport
-71.05111,42.34566,Late July Snacks,grocery,1,4,"15 Channel Center St', Ste 105",42.34566,-71.05111,Seaport
-71.056340262299997,42.352909818299999,Costa's Fruit Stand,grocery,2,5,Summer Street & Purchase Street,42.3529098183,-71.0563402623,Seaport
-71.0512554,42.3456601,EBF By George Foreman III,active,43,4.5,15 Channel Ctr St,42.3456601,-71.0512554,Seaport
-71.057221368,42.341492995599999,The Handle Bar Indoor Cycling Studio,active,42,4.5,"141 Dorchester Ave', Ste R101",42.3414929956,-71.057221368,Seaport
-71.0420227,42.3375511,Radiant Yoga Boston,active,15,4.5,516 E 2nd St,42.3375511,-71.0420227,Seaport
-71.0562363,42.3426704,Stacey Schaedler Strength,active,13,5,36 W Broadway,42.3426704,-71.0562363,Seaport
-71.0358276,42.3403816,Lifted Fitness,active,13,5,803 Summer St,42.3403816,-71.0358276,Seaport
-71.035065,42.337854,C2 Pilates,active,12,4.5,"840 Summer St', 2nd Fl",42.337854,-71.035065,Seaport
-71.05624,42.3511,Rose Fitzgerald Kennedy Greenway,active,42,4,Atlantic Ave,42.3511,-71.05624,Seaport
-71.0416107,42.3501282,Bay State Cruise Company,active,31,3.5,"200 Seaport Blvd', Ste 50",42.3501282,-71.0416107,Seaport
-71.0486645,42.3537716,Boston 1 Dragon Boat Team,active,8,5,"Docks at Barking Crab Restaurant', 88 Sleeper St",42.3537716,-71.0486645,Seaport
-71.043691635100004,42.340719249099998,Boston Athletic Club,active,34,3,"653 Summer St', Ste 1",42.3407192491,-71.0436916351,Seaport
-71.0544434,42.3414497,simply barre,active,12,5,118 W Broadway S,42.3414497,-71.0544434,Seaport
-71.048675537099996,42.353759765600003,Living Root Dragon Boat,active,6,5,"Boston Rowing Center', 88 Sleeper St",42.3537597656,-71.0486755371,Seaport
-71.04177,42.34924,Wave Health & Fitness,active,3,4,"1 Seaport Ln', One Seaport Lane",42.34924,-71.04177,Seaport
-71.050109863299994,42.341709137,Channel Center Dog Park,active,3,5,1-99 West 1st Street,42.341709137,-71.0501098633,Seaport
-71.0566843,42.3385721,The Ultimate Self Defense & Performance Center,active,6,5,12 B St,42.3385721,-71.0566843,Seaport
-71.044556043399993,42.353756923600002,Black Rock Sailing School,active,3,4.5,"55 Northern Ave', 1 Marina Park Dr",42.3537569236,-71.0445560434,Seaport
-71.034923493899996,42.346587181099999,Harpoon Brewery Annual 5-miler to Benefit the Angel Fund,active,4,4,306 Northern Avenue,42.3465871811,-71.0349234939,Seaport
-71.0562089,42.3369557,Rock Spot Climbing,active,17,4.5,30 Old Colony Ave,42.3369557,-71.0562089,Seaport
-71.05055,42.33834,Regan's Motivated Fitness,active,15,4.5,315 W Broadway,42.33834,-71.05055,Seaport
-71.056255772699998,42.342377454,Pilates With Hanneke,active,4,5,36 W Broadway St,42.342377454,-71.0562557727,Seaport
-71.0424194,42.3504562,Boston-Provincetown Fast Ferry,active,4,3,164 Seaport Blvd,42.3504562,-71.0424194,Seaport
-71.053334847100004,42.343911677599998,A Street Park,active,1,5,147 A St,42.3439116776,-71.0533348471,Seaport
-71.05638,42.3516,Boston Sports Clubs,active,50,2,695 Atlantic Avenue,42.3516,-71.05638,Seaport
-71.0561654,42.3424146,Broadway Jiu-Jitsu and Fitness,active,1,5,36 W Broadway,42.3424146,-71.0561654,Seaport
-71.0561654,42.3424146,South Boston Bodywork,active,1,5,"South Boston Yoga', 36 W Broadway, 1st Fl",42.3424146,-71.0561654,Seaport
-71.0404909,42.3513667,Discover the Dinosaurs,active,5,1,200 Seaport Blvd,42.3513667,-71.0404909,Seaport
-71.039543151900006,42.346580505399999,Boston Golf Expo,active,3,2.5,Seaport World Trade Ctr,42.3465805054,-71.0395431519,Seaport
-71.0453549,42.3531991,SailTime Boston,active,2,5,1 Marina Park Dr,42.3531991,-71.0453549,Seaport
-71.052353658599998,42.348992620899999,Sup Sonas,active,1,5,,42.3489926209,-71.0523536586,Seaport
-71.057342529300001,42.353824615500002,Boston Racquet Club,active,8,3.5,100 Summer St,42.3538246155,-71.0573425293,Seaport
-71.056031137700003,42.342233285299997,50 West Broadway Gym,active,1,3,50 West Broadway,42.3422332853,-71.0560311377,Seaport
-71.0524521,42.3526268,Boston Sea Rocket,active,1,4,290 Congress St,42.3526268,-71.0524521,Seaport
-71.0563812,42.3516006,Bsc South Station,active,5,1,695 Atlantic Ave,42.3516006,-71.0563812,Seaport
-71.056576967200002,42.342574899600002,South Boston Yoga,active,85,4.5,"36 W Broadway', Fl 1 & 3",42.3425748996,-71.0565769672,Seaport
-71.0576782,42.3518982,Komen Massachusetts Race for the Cure,active,1,2,89 South St Ste 406,42.3518982,-71.0576782,Seaport
-71.0388385,42.3499879,Wulf's Fish,"localservices,shopping",45,4.5,2 Boston Fish Pier,42.3499879,-71.0388385,Seaport
-71.0353317,42.3378105,Sarra,"localservices,shopping",64,4.5,"840 Summer St', 2nd Fl",42.3378105,-71.0353317,Seaport
-71.0506096,42.3386786,iService Computer Repair,"localservices,shopping",24,5,314 W Broadway,42.3386786,-71.0506096,Seaport
-71.0416119,42.3501279,Stapleton Floral Design,"localservices,shopping",13,4.5,200 Seaport Blvd,42.3501279,-71.0416119,Seaport
-71.0485811,42.3373298,Covet,"localservices,shopping",15,5,395 W Broadway,42.3373298,-71.0485811,Seaport
-71.0572304,42.3508793,Lettering By Liz,"localservices,shopping",23,4.5,118 South St,42.3508793,-71.0572304,Seaport
-71.046898,42.340939,Boston Seaport Self Storage,"localservices,shopping",8,5,380 E St,42.340939,-71.046898,Seaport
-71.0536,42.34301,Artists For Humanity Epicenter,"localservices,shopping",13,4,100 West Second St,42.34301,-71.0536,Seaport
-71.0420199,42.33755,The Distillery,"localservices,shopping",5,5,516 E 2nd St,42.33755,-71.0420199,Seaport
-71.057450227,42.3513696821,Tony Tong the Tailor,"localservices,shopping",39,4.5,107 South St,42.3513696821,-71.057450227,Seaport
-71.0483378,42.3373694,Two Opticians,"localservices,shopping",15,4.5,394 W Broadway,42.3373694,-71.0483378,Seaport
-71.042028,42.337556,Remodel Boston,"localservices,shopping",7,4.5,"516 E 2nd St', Ste 26",42.337556,-71.042028,Seaport
-71.032915189899995,42.344730421900003,Breadrunner Courier,"localservices,shopping",4,5,20 Drydock Ave,42.3447304219,-71.0329151899,Seaport
-71.043548593300002,42.351171015799999,Society of Arts & Crafts,"localservices,shopping",8,5,"100 Pier 4 Blvd', Suite 200",42.3511710158,-71.0435485933,Seaport
-71.056081671800001,42.353456415899998,Winston Flowers,"localservices,shopping",29,4.5,176 Federal St,42.3534564159,-71.0560816718,Seaport
-71.0491791,42.3375702,Neatly Nested Design & Decor,"localservices,shopping",17,4,373 W Broadway,42.3375702,-71.0491791,Seaport
-71.049224853499993,42.350021362299998,Fort Point Framers,"localservices,shopping",3,5,"300 Summer St', Ste M4",42.3500213623,-71.0492248535,Seaport
-71.037272438399995,42.345107272299998,Geekhouse Bikes,"localservices,shopping",2,5,"12 Channel St', Ste 202",42.3451072723,-71.0372724384,Seaport
-71.044136,42.3443146,Lapels Dry Cleaning,"localservices,shopping",7,3.5,415 D St,42.3443146,-71.044136,Seaport
-71.0493317,42.3492106,Floral Lab,"localservices,shopping",4,5,"326 A St', Unit 5B",42.3492106,-71.0493317,Seaport
-71.044170409399996,42.351893931600003,District Hall,"localservices,shopping",7,3.5,75 Northern Ave,42.3518939316,-71.0441704094,Seaport
-71.05587,42.35408,Raymond Personal Tailor,"localservices,shopping",10,4.5,160 Federal St,42.35408,-71.05587,Seaport
-71.056808,42.350673,Colortek of Boston,"localservices,shopping",22,4.5,727 Atlantic Ave,42.350673,-71.056808,Seaport
-71.0353317,42.3378105,Bayside Custom Embroidery,"localservices,shopping",4,5,840 Summer St,42.3378105,-71.0353317,Seaport
-71.057462961300004,42.342724109800002,Sunny Florists,"localservices,shopping",7,5,9 W Broadway R123,42.3427241098,-71.0574629613,Seaport
-71.0329437,42.3442497,Merida,"localservices,shopping",2,5,"1 Design Center Pl', Ste 714",42.3442497,-71.0329437,Seaport
-71.05744,42.3447777,Tolman Manufacturing & Supply Company,"localservices,shopping",7,5,61 Dorchester Ave,42.3447777,-71.05744,Seaport
-71.044838,42.3526535,Morgenthal Frederics Opticians,"localservices,shopping",4,5,60 Northern Ave,42.3526535,-71.044838,Seaport
-71.0404909,42.3513667,Tango Seaport,"localservices,shopping",2,5,200 Seaport Blvd.,42.3513667,-71.0404909,Seaport
-71.0542,42.34075,Sturgis Dry Cleaners & Tailors,"localservices,shopping",32,3.5,135 W Broadway,42.34075,-71.0542,Seaport
-71.050518527600005,42.348406658099996,Fort Point Channel,"localservices,shopping",7,4,Congress St,42.3484066581,-71.0505185276,Seaport
-71.055688485499999,42.353905588400004,Vision Care 2000,"localservices,shopping",13,5,48 High St,42.3539055884,-71.0556884855,Seaport
-71.05079,42.34608,Templeton General,"localservices,shopping",5,5,25 Channel Center St,42.34608,-71.05079,Seaport
-71.033300618200002,42.344201133399999,Boston Design Center,"localservices,shopping",12,3,One Design Center Pl,42.3442011334,-71.0333006182,Seaport
-71.057295664899996,42.35127167,Calamus Bookstore,"localservices,shopping",9,4.5,"92 South St', Ste B",42.35127167,-71.0572956649,Seaport
-71.055379282,42.3518878812,CVS,"localservices,shopping",4,5,55 Summer St,42.3518878812,-71.055379282,Seaport
-71.0576745,42.3505337,Inkkiosk,"localservices,shopping",13,4.5,123 Beach St,42.3505337,-71.0576745,Seaport
-71.040313720699999,42.341716766399998,Machine Age,"localservices,shopping",5,3,645 Summer St,42.3417167664,-71.0403137207,Seaport
-71.0372234,42.3451849,Copy Cop,"localservices,shopping",8,3,"12 Channel St', 5th Fl",42.3451849,-71.0372234,Seaport
-71.0349193,42.3364553,Garda Nee Land Improvement,"localservices,shopping",7,3.5,,42.3364553,-71.0349193,Seaport
-71.0300598,42.3442497,Backstage Hardware & Theatre Supply,"localservices,shopping",2,4.5,"21 Drydock Ave', Ste 1",42.3442497,-71.0300598,Seaport
-71.045735478400005,42.345992642399999,FedEx Office Print & Ship Center,"localservices,shopping",1,5,415 Summer St,42.3459926424,-71.0457354784,Seaport
-71.0536423,42.3545189,DBC City Bike Design,"localservices,shopping",14,4,151 B Pearl St,42.3545189,-71.0536423,Seaport
-71.034965949300002,42.337794063799997,Rayburn Music,"localservices,shopping",7,3.5,"840 Summer St', Suite 001",42.3377940638,-71.0349659493,Seaport
-71.0475922,42.3507996,Tom James Company,"localservices,shopping",12,3,25 Thomson Pl,42.3507996,-71.0475922,Seaport
-71.0425186,42.350193,Bright Horizons-Seaport,"localservices,shopping",1,5,155 Seaport Blvd,42.350193,-71.0425186,Seaport
-71.0328128,42.3441887,JANUS et Cie,"localservices,shopping",1,5,"1 Design Ctr Pl', Ste 114",42.3441887,-71.0328128,Seaport
-71.056230291700004,42.354101389599997,Stone Photo & Framing,"localservices,shopping",8,4.5,160 Federal St,42.3541013896,-71.0562302917,Seaport
-71.036498,42.340739,FedEx Ship Center,"localservices,shopping",22,2,775 Summer St,42.340739,-71.036498,Seaport
-71.057067871100003,42.350711822500003,Envi,"localservices,shopping",7,4,134 Beach St,42.3507118225,-71.0570678711,Seaport
-71.053605,42.354584,United Service,"localservices,shopping",3,4.5,151B Pearl St,42.354584,-71.053605,Seaport
-71.050041198700001,42.349777221700002,Knoll,"localservices,shopping",1,5,281 Summer St,42.3497772217,-71.0500411987,Seaport
-71.04203,42.337555,Junk Squad,"localservices,shopping",4,4,"516 E 2nd St', Ste 26",42.337555,-71.04203,Seaport
-71.0520467,42.3456114,Studio Soto,"localservices,shopping",1,5,10 Channel Center St,42.3456114,-71.0520467,Seaport
-71.0329437,42.3442497,Creative Office Pavilion,"localservices,shopping",1,4,"1 Design Center Pl', Ste 734",42.3442497,-71.0329437,Seaport
-71.0574276,42.3518482,The NonProfit Center,"localservices,shopping",2,5,89 South St,42.3518482,-71.0574276,Seaport
-71.0500148,42.3515446,Citizen Schools,"localservices,shopping",2,4.5,300 Congress St,42.3515446,-71.0500148,Seaport
-71.041577437300006,42.340496775,UPS Customer Center,"localservices,shopping",47,1.5,"647 Summer St', Ste B",42.340496775,-71.0415774373,Seaport
